,borrow_apr,borrow_apr,borrow_apr,borrow_apr,supply_apr,supply_apr,supply_apr,utilization_rate,utilization_rate,utilization_rate
,mean,min,max,count,mean,min,max,mean,min,max
vaultName,,,,,,,,,,
ionAEROb,0.549,0.0,5.0,221,0.4823,0.0,4.5,0.9195,0.0049,1.0
ionEURCb,0.3477,0.0,5.0,72,0.3128,0.0,4.5,0.8155,0.0011,1.0
ionRSRb,1.6071,0.0,5.0,77,1.1914,0.0,4.5,0.8252,0.0448,1.0
ionUSDCb,0.0936,0.0,5.0,221,0.0719,0.0,4.5,0.8789,0.0102,1.0
ionUSDplusb,0.0793,0.0,5.0,71,0.0219,0.0,0.999,0.7902,0.095,1.0
ionUSDzb,0.0698,0.0,4.8152,69,0.0628,0.0,4.3337,0.9573,0.205,1.0
ionWETHb,0.3789,0.0,5.0,230,0.2368,0.0,4.5,0.776,0.0018,1.0
ioncbBTCb,0.345,0.0,5.0,56,0.3105,0.0,4.5,0.8159,0.0602,1.0
ioncbETHb,0.8245,0.0,5.0,221,0.3708,0.0,4.5,0.5481,0.0001,1.0
ioneUSDb,0.0363,0.0,5.0,162,0.0326,0.0,4.5,0.9713,0.2243,1.0
ionsUSDzb,0.0,0.0,0.0,37,0.0,0.0,0.0,0.9109,0.2388,1.0
ionuSOLb,0.6121,0.0,5.0,54,0.3706,0.0,4.5,0.8504,0.1136,1.0
ionuSUIb,1.8576,0.0,5.0,42,1.6719,0.0,4.5,0.9477,0.0334,1.0
ionwUSDMb,0.1043,0.0,5.0,83,0.0939,0.0,4.5,0.9402,0.139,1.0
ionweETHb,0.7208,0.0,5.0,202,0.6079,0.0,4.5,0.7839,0.0107,1.0
ionwstETHb,1.0447,0.0,5.0,221,0.7973,0.0,4.5,0.8363,0.0019,1.0
ionwsuperOETHb,2.4268,0.0,5.0,86,0.3209,0.0,3.4898,0.2173,0.0,1.0
